Urząd Marszałkowski	Wyszyńskiego	Przydworcowe
Dom Dziecka nr 2	Kołłątaja	Wysoki Stoczek
Urząd Miejski	Słonimska	Bojary
II Komisariat Policji	Warszawska	Piasta
Okręgowa Izba Lekarska	Świętojańska	Piasta
Miejski Ośrodek Pomocy Rodzinie	Klepacka	Starosielce
Izba Wytrzeźwień	Zaściańska	Skorupy
Pierwszy Urząd Skarbowy	Świętojańska	Piasta
Szpital Onkologiczny	Ogrodowa	Bojary
Starostwo Powiatowe	Borsucza	Dojlidy
Stadion Miejski	Słoneczna	Kawaleryjskie
Centrum im. Ludwika Zamenhofa	Warszawska	Bojary
Atrium Biała	Miłosza	Mickiewicza
Zakład Opieki Zdrowotnej MSWiA	Fabryczna	Sienkiewicza
Prokuratora Rejonowa	Mickiewicza	Mickiewicza
Straż Miejska	Składowa	Dojlidy
Białostoski Klub Sportowy Hetman	Branickiego	Skorupy
Kasa Rolniczego Ubezpieczenia Społecznego	Legionowa	Centrum
Teatr pod Orzełkiem	Pileckiego	Bacieczki
Państwowy Szpital Kliniczny	Skłodowskiej-Curie	Piaski
III Komisariat Policji	Wrocławska	Starosielce
Hotel Aristo	Kilińskiego	Centrum
Szpital Miejski	Sienkiewicza	Sienkiewicza
Zakład Energetyczny	Świętojańska	Piasta
Placówka Opiekuńczo-Wychowawcza im. Ireny Białówny	Słonimska	Bojary
PKO BP II Oddział	Chrobrego	Piasta
Uniwersytet Wydział Pedagogiki i Psychologii	Świerkowa	Piaski
Dworzec PKS	Bohaterów Monte Cassino	Przydworcowe
Pałac Ślubów	Kilińskiego	Centrum
Szpital Zakaźny	Żurawia	Dojlidy
Instytut Pamięci Narodowej	Warsztatowa	Starosielce
II Urząd Skarbowy	Plażowa	Skorupy
Teatr Lalek	Kalinowskiego	Centrum
WORD	Wiewiórcza	Dojlidy
Urząd Kontroli Skarbowej	Aleja Tysiąclecia Państwa Polskiego	Białostoczek
Pogotowie Ratunkowe Internistyczne	Poleska	Centrum
Podlaski Urząd Wojewódzki	Mickiewicza	Centrum
Archiwum Państwowe	rynek Kościuszki	Centrum
Galeria Podlaska	Wysockiego	Jaroszówka
Domy Studenta Politechniki	Akademicka	Piaski
Hotel Leśny	aleja Jana Pawła II	Leśna Dolina
Izba Celna	Octowa	Nowe Miasto
Oddział Położniczy USK	Skłodowskiej-Curie	Piaski
Komenda Miejska Policji	Bema	Przydworcowe
Sąd Apelacyjny	Mickiewicza	Centrum
Wyższa Szkoła Administracji Publicznej	Suchowolca	Dojlidy